"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"enviro";"enviro2";"env";"site"
"21812";0;1;2;3;8;3;2;1;0;0;-0,0119879050450353;-0,0302423288481028;39,2080090707168;813
"21813";0;0;0;0;0;0;0;10;0;10;0,0452021777001909;0,036370451790567;91,4132131263614;814
"21814";0;0;0;0;0;2;0;10;0;8;0,0311008433933667;-0,00164557236479971;78,5409982316196;815
"21815";0;0;0;0;1;0;0;11;0;8;0,0310682043119479;-0,00171717164123238;78,5112040815875;816
"21816";3;3;11;1;1;1;0;0;0;0;-0,033707529766633;0,00536243625032452;19,3815394071862;817
"21817";1;2;5;2;3;3;1;2;0;1;-0,00261397978209871;-0,035251593969381;47,7648716885597;818
"21818";0;0;2;4;3;6;2;1;2;0;-0,00326577077219652;-0,0351053044204892;47,1698929788545;819
"21819";0;0;0;0;0;0;1;10;1;8;0,0447832969183057;0,0350375220949043;91,0308433929458;820
"21820";5;4;9;1;0;1;0;0;0;0;-0,0547019983662306;0,0716447550579107;0,217018835246563;821
"21821";4;4;8;3;1;0;0;0;0;0;-0,0376956980970438;0,015543491209865;15,7409931533039;822
"21822";3;0;1;5;5;6;0;0;0;0;-0,0134550151106916;-0,0288931475386155;37,8687772201374;823
"21823";4;4;9;1;1;1;0;0;0;0;-0,040449111757481;0,023232058575792;13,2275762269273;824
"21824";0;0;1;1;1;1;3;7;2;4;0,010632025512907;-0,0316829237325299;59,8563109058887;825
"21825";0;0;0;0;0;0;0;10;0;10;0,0490780948710141;0,0492956170477014;94,9512924067676;826
"21826";1;3;8;3;3;2;0;0;0;0;-0,0280869546288692;-0,00706672771970792;24,5122064370662;827
"21827";1;3;13;1;1;1;0;0;0;0;-0,0337970674083128;0,00557860493514573;19,2998061655089;828
"21828";0;0;0;0;0;0;0;7;0;13;0,0540957720259116;0,067614004753695;99,5316120563075;829
"21829";0;0;0;0;0;0;1;8;0;11;0,0538427790681783;0,0666475505999093;99,3006708100438;830
"21830";2;4;9;4;1;0;0;0;0;0;-0,0409498074671185;0,0246880871926456;12,7705228282139;831
"21831";2;4;9;3;1;1;0;0;0;0;-0,0404967766629978;0,0233699013143564;13,1840659538284;832
"21832";3;3;9;3;2;0;0;0;0;0;-0,0370159321542893;0,0137282587765026;16,3615084253252;833
"21833";0;1;3;2;2;4;3;3;1;1;-0,00411460124383555;-0,0348695274077081;46,3950494071469;834
"21834";0;2;5;6;5;1;0;1;0;0;-0,00741381558197027;-0,0334668090374053;43,383405613713;835
"21835";0;0;0;0;0;0;0;10;0;10;0,0370783446435328;0,0127436895060953;83,9974805014208;836
"21836";4;6;7;3;0;0;0;0;0;0;-0,0383136345041086;0,0172221107480304;15,1769181480631;837
"21837";4;2;7;2;2;2;1;0;0;0;-0,0277015076784772;-0,00783682957234746;24,8640565434471;838
"21838";4;2;8;3;3;0;0;0;0;0;-0,0305483226458762;-0,00190005412897681;22,2653794800863;839
"21839";1;4;11;3;1;0;0;0;0;0;-0,0510433676103721;0,0578401547043845;3,55675111059099;840
"21840";0;0;0;0;2;0;0;9;0;9;0,0306193699535006;-0,00269408560662626;78,1014916254207;841
"21841";0;0;0;0;2;2;2;7;3;4;0,0204387305400302;-0,0210074296712256;68,8082307577133;842
"21842";0;1;3;2;5;7;0;1;1;0;-0,00854930614874837;-0,0328050969871397;42,3468881985173;843
"21843";0;0;0;4;2;3;2;6;1;2;0,014082109809054;-0,0287065041254712;63,0056743277237;844
"21844";0;0;0;0;0;0;0;12;0;8;0,047529073948499;0,0440019568204223;93,5372893232852;845
"21845";4;5;6;2;3;0;0;0;0;0;-0,0274940018748534;-0,00824704252107325;25,0534754479304;846
"21846";0;0;0;0;2;2;3;8;2;3;0,0242867861846091;-0,0149513122675573;72,3208770155907;847
"21847";0;0;0;0;0;0;1;10;0;9;0,0531483507402621;0,0640181556006393;98,6667711753398;848
"21848";0;0;0;0;0;0;1;8;2;9;0,0163730379477265;-0,0262627350433525;65,0969175156206;849
"21849";0;0;0;4;5;7;3;1;0;0;0,00335450479521862;-0,0351870828778072;53,2131232088432;850
"21850";0;6;11;2;0;1;0;0;0;0;-0,0496472336822275;0,0528230921633627;4,83119334094226;851
"21851";0;0;0;0;0;0;0;10;1;9;0,0358127293427866;0,00948514333364941;82,8421804588288;852
"21852";0;0;2;3;3;3;5;3;0;1;0,00809625122329083;-0,0333311825029699;57,5415631756186;853
"21853";0;0;0;0;0;0;0;11;0;9;0,0347319295129621;0,00679255342474614;81,8555867532268;854
"21854";0;0;0;0;0;0;1;9;0;10;0,0408890513196703;0,0232424160134385;87,4760332517326;855
"21855";2;1;12;2;1;2;0;0;0;0;-0,0372254039307053;0,0142841270622656;16,1702949088067;856
"21856";4;2;7;4;1;0;2;0;0;0;-0,0263170206814428;-0,0105158820145142;26,1278670281172;857
"21857";0;0;0;1;0;5;4;5;0;5;0,0147184855707282;-0,0280650874256026;63,5865814518183;858
"21858";2;5;10;1;0;1;1;0;0;0;-0,0317797256635655;0,000846379564216147;21,1413096636534;859
"21859";3;1;7;3;4;2;0;0;0;0;-0,0339268486492532;0,00589294427091588;19,1813370911404;860
"21860";0;0;0;0;0;0;1;11;1;7;0,019100568909875;-0,0228668326161712;67,5867077661678;861
"21861";4;3;10;1;2;0;0;0;0;0;-0,0333721946153964;0,00455790707967884;19,6876456262544;862
"21862";0;0;0;0;0;0;0;9;1;10;0,0225521446855497;-0,0178115840658409;70,7374326651916;863
"21863";0;0;3;1;1;3;1;4;5;2;0,00812722250029157;-0,0333138077975569;57,569834892638;864
"21864";3;5;7;2;3;0;0;0;0;0;-0,0443278433163769;0,0349770487501248;9,68692786991596;865
"21865";0;0;0;0;0;0;0;10;0;10;0,0497199739179525;0,0515391619917129;95,5372231313959;866
"21866";0;0;0;0;0;0;0;9;0;11;0,0341801921218411;0,00545002093070216;81,3519406365231;867
"21867";1;2;1;0;3;6;2;3;0;2;0,00160788784420565;-0,0354679954775183;51,6187472268939;868
"21868";0;0;1;2;5;2;3;3;1;3;0,0148192898704396;-0,0279608439889275;63,6785993119702;869
"21869";0;0;0;0;1;1;0;9;1;8;0,0226287861752074;-0,0176897244470557;70,8073938265443;870
"21870";0;0;2;0;4;2;4;5;1;2;0,0139089285671169;-0,0288760751914124;62,8475881414488;871
"21871";7;3;7;1;0;1;1;0;0;0;-0,0213523578379592;-0,0190026455999223;30,6597932707518;872
"21872";0;0;0;0;0;0;0;10;0;10;0,0367015481978819;0,0117616609002963;83,6535268928856;873
"21873";1;3;4;4;1;1;3;2;0;1;-0,011910756720154;-0,030309042338458;39,2784328898415;874
"21874";2;1;5;5;4;2;1;0;0;0;-0,0226842519127764;-0,0168977950135837;29,4439915334806;875
"21875";0;1;1;6;6;1;2;1;2;0;-0,00369837752730862;-0,0349915390433918;46,7749936738983;876
"21876";0;0;1;1;3;0;3;6;1;5;0,0153079061390336;-0,0274453235377136;64,12462615408;877
"21877";0;2;8;0;5;2;3;0;0;0;-0,0115267355451209;-0,0306348288475487;39,6289814962074;878
"21878";0;2;2;3;1;6;2;3;1;0;0,00322634366195906;-0,0352150661076705;53,0961330281571;879
"21879";0;0;0;0;0;0;1;10;0;9;0,0500367197121667;0,0526570660597233;95,8263603039086;880
"21880";0;0;0;0;0;1;2;8;0;9;0,0215542754025121;-0,0193600903607291;69,8265410028398;881
"21881";0;0;0;0;0;0;0;12;0;8;0,0356380909527703;0,0090444443728861;82,6827641343698;882
"21882";0;0;0;0;0;0;0;11;0;9;0,0436898156482959;0,0316166969585288;90,0326736038551;883
"21883";3;2;12;3;0;0;0;0;0;0;-0,0489145110212318;0,0502454538456084;5,50004944670945;884
"21884";5;2;5;4;1;3;0;0;0;0;-0,0234354411690848;-0,0156550530052198;28,7582784425467;885
"21885";2;5;8;3;2;0;0;0;0;0;-0,0384831420770187;0,0176873198990552;15,0221854215488;886
"21886";0;2;2;2;6;4;3;1;0;0;-0,000209832826714823;-0,0355301140925957;49,9594651628286;887
"21887";0;0;0;0;0;0;0;10;0;10;0,0418386431639571;0,0260192287613853;88,3428554981947;888
"21888";0;0;1;3;5;4;5;0;2;0;0,00609144122239099;-0,034310838536258;55,7114991126582;889
"21889";0;0;0;0;0;0;0;11;2;7;0,0380356595333289;0,0152840826868964;84,8713526269421;890
"21890";0;0;3;3;8;2;3;1;0;0;-0,00803027185980066;-0,0331189362951885;42,8206817246974;891
"21891";2;3;7;3;2;0;2;1;0;0;-0,0159293652868856;-0,0262711334547138;35,6100996723399;892
"21892";0;0;0;1;0;1;2;9;0;7;0,015131025288186;-0,0276339031967579;63,9631628291681;893
"21893";1;1;10;4;2;1;0;1;0;0;-0,0155955290119968;-0,0266502849560923;35,9148376621306;894
"21894";0;0;0;0;0;0;0;10;0;10;0,0409838313429105;0,0235166943743377;87,5625519314781;895
"21895";2;6;9;0;3;0;0;0;0;0;-0,0380581507564346;0,0165248005336054;15,4101330786943;896
"21896";0;0;1;4;2;1;7;1;2;2;0,00531211086553971;-0,0346145580463112;55,0000977935269;897
"21897";0;0;0;0;0;0;0;10;1;9;0,0496687839174702;0,0513591642874203;95,4904950223863;898
"21898";3;1;11;4;1;0;0;0;0;0;-0,0350301951604298;0,00861367514584444;18,1741619482636;899
"21899";0;1;1;3;6;4;1;2;2;0;-0,00156430181833229;-0,0354237210420637;48,7230562139302;900
"21900";0;0;0;0;0;0;1;9;0;10;0,0456700607837031;0,0378740562895688;91,8403139570728;901
"21901";6;5;8;0;1;0;0;0;0;0;-0,0528739106691626;0,0646281732603354;1,88576430082321;902
"21902";3;4;11;1;1;0;0;0;0;0;-0,0386455113103057;0,0181348529176202;14,8739688331261;903
"21903";0;0;0;0;0;1;0;10;0;9;0,0397571958819352;0,0200163415969264;86,4428341155872;904
"21904";1;1;5;2;4;4;3;0;0;0;-0,0113071365780768;-0,030816416547781;39,829439483583;905
"21905";0;1;9;4;5;0;1;0;0;0;-0,0297466096895506;-0,00363021660968217;22,9972124565393;906
"21906";0;0;0;0;0;1;3;8;1;7;0,0161437951084906;-0,0265240667399381;64,8876562481746;907
"21907";0;0;0;0;0;0;0;9;0;11;0,0399942277004055;0,0206844052426059;86,6592054488137;908
"21908";0;0;0;0;0;0;0;10;1;9;0,0540943756592897;0,0676086580328164;99,5303374016657;909
"21909";0;0;0;0;0;0;0;10;1;9;0,0346120577410724;0,00649903204646928;81,746163405478;910
"21910";2;3;10;4;1;0;0;0;0;0;-0,0451234840189249;0,0375184466870021;8,96063786931336;911
"21911";1;1;3;1;7;2;5;0;0;0;-0,00333381932477967;-0,0350882907939781;47,1077757654712;912
"21912";2;6;9;2;0;1;0;0;0;0;-0,0236525726844314;-0,0152883666716443;28,5600728355348;913
"21913";0;0;0;0;0;0;0;9;1;10;0,0488955552231335;0,0486629380704997;94,7846635244787;914
"21914";0;3;10;4;2;1;0;0;0;0;-0,0164689254458983;-0,025641587096165;35,1175693795085;915
"21915";0;0;0;0;0;0;1;7;0;12;0,0500314332557604;0,0526383498410394;95,8215346327052;916
"21916";3;2;13;2;0;0;0;0;0;0;-0,0389969734426161;0,0191099938564575;14,5531413145363;917
"21917";0;2;1;6;2;5;3;0;1;0;-0,00563801437471175;-0,0343179537150493;45,004422054626;918
"21918";0;0;1;0;3;2;4;7;1;2;0,0102143489588616;-0,0319858514311765;59,475040435791;919
"21919";0;0;4;4;5;4;2;1;0;0;-0,0125132145922165;-0,0297768249980881;38,728487258777;920
"21920";0;0;0;0;0;3;2;7;2;6;0,0204293717769989;-0,0210208757744879;68,7996877357364;921
"21921";0;0;0;0;0;0;0;8;3;9;0,0346661650219474;0,00663139420468099;81,7955545149744;922
"21922";0;0;0;0;0;0;1;10;0;9;0,0300424183836021;-0,00392882350337267;77,5748290820047;923
"21923";0;0;0;0;0;0;0;9;0;11;0,0401586821993406;0,0211502591764698;86,8093255441636;924
"21924";0;0;0;0;0;0;0;11;1;8;0,0282054837579565;-0,00770249226760514;75,8980078157037;925
"21925";0;0;0;0;1;0;0;9;0;10;0,0458494340313868;0,0384546216929735;92,0040524331853;926
"21926";0;0;0;0;0;0;1;10;0;9;0,042548571350123;0,0281370780589799;88,9909039717168;927
"21927";0;0;1;7;6;3;2;1;0;0;-0,00441516236177821;-0,0347737654925252;46,1206862004474;928
"21928";0;0;0;0;0;0;0;10;0;10;0,0462094898914664;0,0396268921914649;92,3327246215194;929
"21929";0;5;7;7;0;1;0;0;0;0;-0,0191960313459463;-0,0221430982640214;32,6281671412289;930
"21930";4;2;5;4;3;1;1;0;0;0;-0,0201719783667907;-0,0207626744450416;31,7372869234532;931
"21931";0;0;0;0;0;0;0;9;1;10;0,0206853260389584;-0,0206508933461565;69,0333321690559;932
"21932";0;0;0;0;0;0;0;10;0;10;0,0505782852001566;0,0545849533624243;96,3207211345434;933
"21933";0;0;1;3;6;4;4;1;1;0;0,000597433917302804;-0,0355315126871246;50,6963678402826;934
"21934";0;0;1;1;4;2;4;4;3;1;0,00851779197824984;-0,0330888500976524;57,9263610299677;935
"21935";0;0;0;0;1;1;2;8;1;7;0,0210368616293456;-0,0201351592671949;69,3542267428711;936
