"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"sp_11";"sp_12";"sp_13";"sp_14";"sp_15";"sp_16";"sp_17";"sp_18";"sp_19";"sp_20";"enviro";"enviro2";"env";"site"
"21962";0;0;0;0;0;0;0;0;0;1;0;2;2;0;6;9;8;5;7;0;0,0466052116577929;0,0422257088647268;93,2831652462482;963
"21963";0;0;0;0;0;0;0;0;0;1;0;3;2;0;3;4;7;7;13;0;0,0500773417200566;0,0540834781797503;96,4639704441652;964
"21964";0;0;0;0;1;0;0;1;0;5;0;4;5;2;8;8;1;1;0;4;0,0271476315083367;-0,00857524302919488;75,4581497749314;965
"21965";2;0;5;6;2;7;2;9;3;2;1;0;0;0;1;0;0;0;0;0;-0,0337305210543581;0,00402417640800745;19,6879048133269;966
"21966";3;1;1;2;0;2;2;5;8;1;2;5;4;1;0;2;1;0;0;0;-0,00941769236148454;-0,0321900041946013;41,9607950840145;967
"21967";6;0;8;6;5;5;0;3;2;3;1;0;1;0;0;0;0;0;0;0;-0,0459710885230291;0,0379506062846827;8,47436732146889;968
"21968";2;0;2;3;8;5;1;4;4;2;2;2;3;0;1;1;0;0;0;0;-0,0158281127681602;-0,0266669603420561;36,0882332315668;969
"21969";0;0;3;3;6;3;0;6;1;5;1;4;5;1;0;1;0;0;1;0;-0,014357781453495;-0,0281885312475942;37,4351981794462;970
"21970";7;0;6;7;6;7;2;3;2;0;0;0;0;0;0;0;0;0;0;0;-0,0443229536404228;0,0327702319574318;9,98421744443476;971
"21971";1;1;8;4;3;10;1;5;3;3;1;0;0;0;0;0;0;0;0;0;-0,0249837544223921;-0,0137798401117058;27,7007845928892;972
"21972";6;0;6;7;3;6;2;4;4;1;0;1;0;0;0;0;0;0;0;0;-0,0405615461538211;0,0216611735941743;13,4300285950303;973
"21973";0;0;0;1;0;0;1;2;10;3;0;1;1;7;5;4;0;5;0;0;0,0141043240726267;-0,0277602652979412;63,5092252399772;974
"21974";0;0;1;4;2;4;0;6;2;4;3;6;4;4;0;0;0;0;0;0;-0,0101251668915298;-0,0317219822108193;41,3126803468913;975
"21975";5;0;15;7;6;4;0;0;1;1;0;0;0;0;1;0;0;0;0;0;-0,0541857407190923;0,0666124822324141;0,948955561034381;976
"21976";0;0;0;0;0;0;0;0;1;1;0;1;3;2;4;5;9;6;8;0;0,0534630203216318;0,0664603999648656;99,5655777864158;977
"21977";2;0;0;0;6;5;1;5;6;5;2;1;2;1;4;0;0;0;0;0;-0,0119451235191641;-0,030356669025146;39,645424974151;978
"21978";8;0;9;11;6;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;-0,0477799279180002;0,0438554339704964;6,8172964034602;979
"21979";2;0;7;3;7;7;0;3;4;3;0;2;1;0;1;0;0;0;0;0;-0,0292561336541925;-0,00575393887570041;23,7868741620332;980
"21980";0;0;0;0;0;0;1;0;0;2;0;6;3;1;3;7;2;9;6;0;0,0307011584429022;-0,00127980381592272;78,7135223392397;981
"21981";0;0;0;1;2;2;2;6;5;4;0;4;4;2;2;5;0;0;1;0;0,00569925999805477;-0,0337997922651387;55,8093778789043;982
"21982";0;0;3;2;1;5;2;5;7;5;0;3;2;0;3;1;0;1;0;0;-0,0120136078062566;-0,0303007565348154;39,5826867781579;983
"21983";3;0;4;7;4;5;0;7;4;3;1;1;0;1;0;0;0;0;0;0;-0,029395311625209;-0,00547094926537635;23,6593737499788;984
"21984";4;0;8;4;5;10;0;3;1;1;1;0;2;0;1;0;0;0;0;0;-0,0384511136582764;0,0158628165031806;15,3633878100663;985
"21985";0;0;1;0;1;1;0;4;4;6;1;6;3;2;3;3;3;1;1;0;0,00405116191712578;-0,0344028942867924;54,2995614698157;986
"21986";0;0;0;0;0;0;0;0;0;0;0;4;2;0;5;4;9;10;6;0;0,0492101821451059;0,0510427840746244;95,6695688422769;987
"21987";1;1;3;2;3;3;3;6;1;2;4;2;4;1;2;1;0;1;0;0;-0,010927139182696;-0,0311489861416704;40,5779965687543;988
"21988";7;0;8;8;3;6;0;4;1;0;2;0;0;1;0;0;0;0;0;0;-0,0466031144297799;0,039987721597425;7,89537078235298;989
"21989";9;1;6;10;5;4;0;1;2;2;0;0;0;0;0;0;0;0;0;0;-0,0461698185209889;0,03858812288105;8,29231152310967;990
"21990";2;1;2;3;3;1;2;5;5;2;1;2;3;1;4;1;2;0;0;0;-0,0106751267098422;-0,0313339062796291;40,8088642405346;991
"21991";4;0;4;1;3;7;1;7;2;2;1;0;3;3;1;0;0;1;0;0;-0,0158232552771544;-0,0266722367978385;36,0926831606776;992
"21992";0;0;0;0;0;0;0;4;1;2;0;4;7;2;5;7;1;3;4;0;0,0189476414512562;-0,0220294001943;67,9461699444801;993
"21993";0;0;0;0;0;0;1;0;1;0;0;1;4;0;3;8;8;5;9;0;0,0483769440333398;0,0481707318131818;94,9062425643206;994
"21994";1;0;3;6;4;5;2;5;6;1;0;1;1;0;2;1;1;1;0;0;-0,0146238634769968;-0,0279244157469798;37,1914414456114;995
"21995";10;0;4;5;6;4;0;5;1;2;1;1;0;0;0;1;0;0;0;0;-0,0332879577817468;0,00299443293201009;20,0933353509754;996
"21996";0;0;1;0;0;0;1;2;2;1;0;3;3;8;7;7;1;1;3;0;0,0203510324972678;-0,0200613426990074;69,2318111658096;997
"21997";2;0;6;3;5;5;2;5;6;2;0;0;3;1;0;0;0;0;0;0;-0,0258447037905398;-0,0122655182061838;26,9120721379295;998
"21998";6;0;7;6;5;5;1;2;2;1;2;0;1;0;2;0;0;0;0;0;-0,0350835254447529;0,00725752091457834;18,4484226163477;999
"21999";0;0;0;1;0;0;0;1;0;2;0;5;6;1;2;4;5;8;5;0;0,0306611334672803;-0,00136690823097992;78,6768556106836;1000
