"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"sp_11";"sp_12";"sp_13";"sp_14";"sp_15";"sp_16";"sp_17";"sp_18";"sp_19";"sp_20";"enviro";"enviro2";"env";"site"
"2187";0;0;0;0;0;0;0;0;0;0;0;2;6;1;5;10;3;7;5;1;0,0370449038173225;0,0139462358135928;84,5250034471974;88
"2188";0;0;0;0;1;2;1;2;3;3;1;2;7;2;7;4;1;2;2;0;0,00402975144847119;-0,0344094754216461;54,2799474205822;89
"2189";0;0;0;0;0;0;0;2;0;5;0;5;6;3;2;6;2;6;3;0;0,016636974790853;-0,0249687670802251;65,8293769694865;90
"2190";3;0;4;10;4;9;3;4;2;1;0;0;0;0;0;0;0;0;0;0;-0,0278837068481846;-0,00847171833149508;25,0441491603851;91
"2191";0;0;0;0;0;0;0;0;0;1;0;2;6;2;4;5;3;11;6;0;0,0415827886231471;0,0265699257380497;88,6821425287053;92
"2192";0;0;0;0;0;1;0;2;2;7;0;3;8;1;4;4;4;3;1;0;0,0162456264149226;-0,0254295060176322;65,4708642046899;93
"2193";0;0;0;1;0;1;0;6;0;10;0;4;1;2;7;0;5;2;1;0;0,0115742023514339;-0,0300996785631499;61,1913903150707;94
"2194";4;0;4;7;2;8;1;2;4;5;1;1;1;0;0;0;0;0;0;0;-0,0294565867991974;-0,00534592805025579;23,6032397951931;95
"2195";0;0;0;0;0;0;1;0;4;1;1;5;5;7;7;6;0;1;2;0;0,0172300055589746;-0,0242501092089347;66,3726502098143;96
"2196";2;1;5;7;7;5;0;2;3;4;0;2;1;1;0;0;0;0;0;0;-0,0282453778991192;-0,00776833323838654;24,712823680602;97
"2197";4;1;1;8;7;4;0;3;4;1;1;2;2;1;1;0;0;0;0;0;-0,0213779226210256;-0,0195571869776034;31,0040734475479;98
"2198";0;1;1;3;0;0;0;4;4;8;0;3;5;1;3;5;1;0;1;0;0,00114628863942856;-0,0350019963153454;51,6384180635214;99
"2199";3;0;9;4;8;5;1;4;2;0;0;1;1;1;0;0;1;0;0;0;-0,0407907057000113;0,0223095887318689;13,2200964028016;100
"21100";0;0;0;0;0;0;0;0;0;0;1;1;1;0;5;4;12;7;9;0;0,0450968212582112;0,0373378695628977;91,9013345148414;101
"21101";15;0;10;4;2;4;0;2;1;1;0;1;0;0;0;0;0;0;0;0;-0,0449679412351732;0,034774845565685;9,39334675204009;102
"21102";5;0;6;11;6;2;0;3;3;1;0;1;1;0;0;1;0;0;0;0;-0,0435793360254949;0,0304952961249857;10,6654427247122;103
"21103";0;0;0;0;0;0;0;0;0;0;0;1;1;2;5;12;4;6;9;0;0,0421485405545956;0,0282450364393499;89,2004257300869;104
"21104";7;0;12;10;5;3;0;0;0;1;1;1;0;0;0;0;0;0;0;0;-0,0538090438838716;0,0651945815671172;1,29404610488564;105
"21105";0;0;0;0;0;0;0;1;1;1;1;2;8;4;6;8;2;2;3;1;0,0297406624183238;-0,00333907419547234;77,8336155693978;106
"21106";2;1;3;4;1;14;0;5;2;3;0;3;1;0;1;0;0;0;0;0;-0,0261742536106163;-0,011672112631697;26,6101727960631;107
"21107";1;0;5;3;7;7;0;6;1;4;0;2;2;1;1;0;0;0;0;0;-0,0212162943306457;-0,0197947930786706;31,1521405121312;108
"21108";1;1;0;0;0;5;1;7;2;3;1;4;3;5;2;3;0;1;0;1;0,000515039736047511;-0,0350538906533189;51,0601333342493;109
"21109";2;0;0;1;1;6;0;4;3;7;0;3;5;2;1;3;1;0;1;0;-0,00354660549211625;-0,0347192243947978;47,3392755258828;110
"21110";2;0;5;2;4;2;0;5;10;1;1;1;4;1;0;1;1;0;0;0;-0,019100927462138;-0,0227355985826821;33,0900200875476;111
"21111";0;0;0;0;0;0;0;1;0;0;0;0;2;0;6;9;5;11;6;0;0,0450146892419062;0,0370763082118336;91,8260936858132;112
"21112";0;0;1;0;2;1;1;0;6;3;0;6;6;6;3;2;0;1;2;0;0,016893880006043;-0,0246604681518071;66,0647268639877;113
"21113";7;0;6;7;7;5;2;2;0;1;2;0;0;1;0;0;0;0;0;0;-0,036929206139855;0,0118753166129393;16,7576015228406;114
"21114";10;0;7;10;5;4;0;3;1;0;0;0;0;0;0;0;0;0;0;0;-0,0512981215824929;0,0559976963337511;3,59429251402617;115
"21115";8;0;7;7;6;5;0;5;0;1;0;0;0;0;1;0;0;0;0;0;-0,0475952292457418;0,0432419764403377;6,98649815749377;116
"21116";0;0;0;1;1;1;2;2;3;1;2;5;4;2;2;5;2;3;4;0;0,0176745245306666;-0,0236952465378504;66,7798723559827;117
"21117";0;0;0;1;0;0;0;1;0;2;0;3;6;2;8;5;5;4;3;0;0,0304618005114524;-0,00179903336346487;78,4942474449053;118
"21118";0;0;0;1;1;1;1;4;6;2;0;6;5;4;2;5;0;1;0;1;0,00158574755839629;-0,0349493646794368;52,041004714556;119
"21119";0;0;0;0;0;1;0;0;3;1;1;4;6;3;8;6;2;3;1;1;0,0201849072604916;-0,020301519313448;69,0796244656667;120
"21120";1;0;6;2;2;4;0;3;7;2;1;2;2;2;2;4;0;0;0;0;-0,0120899723033386;-0,0302380224392646;39,5127295516431;121
"21121";2;0;5;5;3;7;4;3;3;4;1;0;1;1;0;0;0;1;0;0;-0,0230291669657956;-0,0170247315134297;29,4913747580722;122
"21122";0;0;0;0;0;0;0;1;0;1;1;1;3;2;5;6;4;10;6;0;0,0387494558491853;0,0185186350664347;86,086537106894;123
"21123";11;0;10;6;6;2;1;1;2;0;1;0;0;0;0;0;0;0;0;0;-0,0525651257393948;0,0605831373575708;2,43359480518848;124
"21124";14;0;10;7;2;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0;-0,0514310611608914;0,0564735326608759;3,47250706981868;125
"21125";0;0;0;0;0;0;0;0;0;0;2;1;3;2;4;11;4;6;6;1;0,0393708640907934;0,0202362373681664;86,6558068431914;126
"21126";0;0;1;1;2;1;0;0;5;3;0;10;4;5;1;3;0;3;0;1;0,00635061021649973;-0,0335089041175394;56,4060773467645;127
"21127";6;0;5;5;7;6;0;2;2;2;2;1;1;1;0;0;0;0;0;0;-0,0274873578156072;-0,00923200774808323;25,407243007794;128
"21128";0;0;0;0;0;1;0;4;1;2;0;2;6;2;8;5;3;3;3;0;0,0251520774818215;-0,0122837341460261;73,6300302902237;129
"21129";6;0;4;5;4;4;2;4;6;2;1;1;1;0;0;0;0;0;0;0;-0,0315490854154811;-0,000918475392805387;21,686309739016;130
"21130";0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;10;4;6;8;0;0,0403415169462511;0,0229733721614948;87,5450182473287;131
"21131";8;0;6;7;4;8;0;3;2;2;0;0;0;0;0;0;0;0;0;0;-0,0486555339607932;0,0467962332868114;6,01515702437609;132
"21132";2;0;2;4;5;7;0;6;5;3;0;3;0;2;1;0;0;0;0;0;-0,0242043352563799;-0,0151059134551715;28,4148075385019;133
"21133";0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;7;2;9;8;0;0,0484968044277758;0,0485808742430417;95,0160462176427;134
"21134";0;0;0;0;1;3;2;0;6;3;0;8;4;2;7;2;1;1;0;0;0,00784873279561304;-0,0327269044722989;57,7785017667338;135
"21135";7;0;9;4;7;5;2;1;2;1;2;0;0;0;0;0;0;0;0;0;-0,044667847955444;0,033838528965214;9,66826106887311;136
"21136";1;0;1;3;4;6;0;1;5;3;0;5;5;1;3;0;1;0;1;0;-0,00623494453717572;-0,0338612249780422;44,8764983098954;137
"21137";9;1;6;6;4;6;1;3;3;0;1;0;0;0;0;0;0;0;0;0;-0,0472015596446787;0,0419424297971249;7,34713738784194;138
"21138";0;0;0;1;0;0;1;0;0;0;0;1;3;4;13;9;1;2;5;0;0,0261697736062585;-0,0104273772104581;74,5623378548771;139
"21139";0;0;0;0;0;0;0;1;0;2;0;4;4;3;2;10;3;6;5;0;0,0345957299269707;0,00773324553623644;82,2813245235011;140
"21140";0;0;0;0;0;1;0;1;1;0;2;3;1;0;7;3;6;8;7;0;0,0395270534338318;0,0206722122415961;86,7988913087174;141
"21141";1;0;2;2;6;6;0;5;5;4;1;2;3;2;0;0;1;0;0;0;-0,0218015548109148;-0,0189257184021824;30,6159856030717;142
"21142";0;0;1;0;0;0;0;2;2;2;1;4;6;3;5;5;4;2;3;0;0,0258856533981893;-0,0109529451541638;74,3020564084873;143
"21143";1;1;2;3;4;6;2;6;6;1;0;2;2;2;2;0;0;0;0;0;-0,0170014098408623;-0,0253439791211644;35,0133802276105;144
"21144";0;0;1;1;1;1;0;6;3;3;0;3;7;2;5;4;0;2;0;1;0,00149186691158973;-0,0349617462197239;51,9550010096282;145
"21145";2;0;6;2;5;6;1;5;6;1;2;2;1;1;0;0;0;0;0;0;-0,0197595427332533;-0,0218536374524979;32,4866651324555;146
"21146";1;4;1;5;1;8;3;4;1;5;1;4;1;1;0;0;0;0;0;0;-0,0193533505227662;-0,0224011716250445;32,8587762778625;147
"21147";9;0;7;5;2;7;3;4;1;2;0;0;0;0;0;0;0;0;0;0;-0,0479310167468017;0,0443590393955371;6,67888449970633;148
"21148";1;1;0;6;1;2;0;5;7;7;0;3;3;3;1;0;0;0;0;0;-0,0134340849459278;-0,0290668532249435;38,2813930511475;149
"21149";5;0;9;6;9;3;0;3;4;1;0;0;0;0;0;0;0;0;0;0;-0,0479215280391914;0,044327364750143;6,68757706880569;150
"21150";5;0;6;6;8;6;0;1;2;2;1;3;0;0;0;0;0;0;0;0;-0,0355591745181519;0,00842471268041352;18,0126823019236;151
"21151";1;1;2;2;0;5;1;6;8;3;0;1;5;1;0;3;1;0;0;0;-0,00755038752942584;-0,0332566596038022;43,6714259674773;152
"21152";0;0;0;0;0;0;0;0;0;1;1;2;0;1;5;6;5;7;12;0;0,0502599805658364;0,0547306262630012;96,6312851989642;153
"21153";0;0;0;0;0;0;1;0;1;0;1;0;4;1;8;8;4;8;4;0;0,0358878234494841;0,0109585494457454;83,4650065051392;154
"21154";0;2;0;6;4;5;0;6;8;2;1;2;1;1;1;1;0;0;0;0;-0,0172208687648114;-0,0250858016505921;34,8123347386718;155
"21155";0;0;0;0;1;0;0;2;1;5;0;5;7;4;3;5;1;2;2;2;0,0224051441175572;-0,016931631864095;71,1135750403628;156
"21156";8;0;5;3;6;6;1;3;5;0;3;0;0;0;0;0;0;0;0;0;-0,0388711179093324;0,0169918638328669;14,9786235066131;157
"21157";0;0;0;0;2;1;0;4;1;3;1;6;7;3;5;2;1;4;0;0;0,0112580378961258;-0,030360447784902;60,9017532551661;158
"21158";3;0;11;5;3;5;1;3;3;3;1;2;0;0;0;0;0;0;0;0;-0,0334766596276202;0,00343181868991341;19,9204663047567;159
"21159";0;0;1;1;0;4;1;0;6;6;0;2;7;5;6;0;1;0;0;0;-0,000223478711666179;-0,0350791211672324;50,3835793817416;160
"21160";0;0;0;0;0;0;1;0;0;1;0;5;3;0;4;4;7;6;9;0;0,0483504245362481;0,0480801226441906;94,8819481534883;161
"21161";0;0;0;0;2;6;1;7;4;1;3;3;2;4;4;2;1;0;0;0;-0,00113327206401454;-0,0350576029976163;49,5501211378723;162
"21162";2;2;2;6;3;3;5;3;3;1;4;4;0;1;1;0;0;0;0;0;-0,0281621374864399;-0,00793103379196207;24,7890799073502;163
"21163";0;0;2;0;0;3;0;1;7;3;0;8;4;2;5;4;1;0;0;0;0,0100284784038714;-0,0313079128064734;59,7753584617749;164
"21164";0;2;0;0;2;0;0;0;3;8;0;6;2;4;5;6;1;0;1;0;0,0037122485608899;-0,0345032949010658;53,9890842279419;165
"21165";9;3;4;3;8;4;1;3;2;1;2;0;0;0;0;0;0;0;0;0;-0,043736830150654;0,0309738771781726;10,5211629532278;166
"21166";0;0;0;2;1;4;0;2;6;2;2;4;4;3;6;2;1;0;1;0;0,00579750085574379;-0,0337578245627273;55,8993759565055;167
"21167";1;1;4;3;2;8;2;4;3;3;0;2;3;1;0;1;0;2;0;0;-0,0205552956680283;-0,0207474397887398;31,7576788831502;168
"21168";13;3;2;7;6;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0;-0,0519073244766508;0,0581884191937535;3,03620405029505;169
"21169";2;0;6;6;3;7;0;4;5;6;0;1;0;0;0;0;0;0;0;0;-0,0318051118127162;-0,000355666747044539;21,4517649263144;170
"21170";0;0;0;0;0;0;0;0;0;0;0;3;3;2;6;9;5;10;2;0;0,0496253703070431;0,0524920588787323;96,0499211447313;171
"21171";2;0;6;10;3;7;0;4;4;0;2;1;0;1;0;0;0;0;0;0;-0,0401459234118558;0,020494553926061;13,8107790146023;172
"21172";0;2;1;2;1;5;2;6;6;1;2;7;0;1;3;0;1;0;0;0;-0,00739971782801444;-0,0333320616139467;43,8094539102167;173
"21173";1;0;3;1;1;1;0;4;4;6;0;5;4;4;2;4;0;0;0;0;0,00329624173954083;-0,0346155183567598;53,6079819547012;174
"21174";0;0;0;0;1;1;0;3;3;5;0;4;5;5;4;3;1;3;2;0;0,0128123847969225;-0,0290109331697726;62,3256845632568;175
"21175";0;0;0;0;0;0;0;2;1;0;1;3;4;0;8;6;1;10;4;0;0,0424270693476008;0,0290779686692237;89,4555849023163;176
"21176";0;0;6;3;2;3;0;7;6;7;0;2;1;1;1;1;0;0;0;0;-0,0213368338532722;-0,0196177643703041;31,0417147120461;177
"21177";0;0;2;3;5;7;1;2;8;2;3;3;1;3;0;0;0;0;0;0;-0,0169212109800691;-0,0254374843084216;35,0868501001969;178
"21178";8;0;11;9;4;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0;-0,0493127314269569;0,0490388218254797;5,41310091502964;179
"21179";4;0;7;3;7;7;0;5;3;0;2;0;0;0;1;1;0;0;0;0;-0,0318130274265293;-0,000338193009711894;21,4445134624839;180
"21180";0;0;0;0;0;1;0;0;0;0;1;1;4;1;5;8;4;3;12;0;0,0423556964084086;0,0288640113738395;89,3902004230767;181
"21181";4;0;7;6;4;6;0;2;5;2;0;1;0;1;1;1;0;0;0;0;-0,0347213247343186;0,00637936361457863;18,7802333151922;182
"21182";2;0;4;5;2;3;3;6;7;4;1;1;1;0;0;0;1;0;0;0;-0,0239821719174574;-0,0154760886605129;28,6183305317536;183
"21183";0;0;0;0;0;0;0;0;0;0;2;4;5;1;8;4;2;6;8;0;0,0401306004591592;0,0223729902229258;87,3517984524369;184
"21184";5;0;8;4;4;4;0;1;7;5;0;2;0;0;0;0;0;0;0;0;-0,0304244790459604;-0,00333617461718267;22,7165573742241;185
"21185";1;0;1;5;3;5;5;4;7;1;2;3;1;0;1;1;0;0;0;0;-0,0262650877749252;-0,0115072122607918;26,5269599622115;186
"21186";0;0;0;0;0;4;2;3;2;2;1;7;5;3;4;5;1;1;0;0;0,0101512759178094;-0,0312180554211316;59,8878527991474;187
"21187";2;0;8;9;4;2;1;4;4;5;0;0;1;0;0;0;0;0;0;0;-0,029511732155682;-0,00523318846293384;23,5527213430032;188
"21188";0;0;0;0;1;1;1;2;4;1;1;7;4;5;4;5;0;2;2;0;0,012281597762956;-0,0294908291964147;61,8394325720146;189
"21189";0;0;0;0;0;0;0;2;0;2;0;2;2;10;8;6;0;2;6;0;0,0395334219030966;0,0206900250067593;86,8047254392877;190
"21190";0;0;3;3;6;4;0;4;3;6;0;4;2;2;0;1;1;1;0;0;-0,00664456758911513;-0,0336859806182796;44,5012441836298;191
"21191";9;2;8;7;3;2;0;4;3;1;0;0;0;1;0;0;0;0;0;0;-0,0429115080339338;0,0284852843972683;11,2772374181077;192
"21192";1;1;1;0;1;4;1;5;10;4;1;6;1;1;2;1;0;0;0;0;-0,0029789916956979;-0,0348355578102017;47,8592643747106;193
"21193";0;0;2;2;10;6;0;6;4;4;1;2;2;0;0;1;0;0;0;0;-0,0167522635527859;-0,0256329865063395;35,2416221983731;194
"21194";0;0;0;0;0;0;0;0;1;0;2;5;3;1;10;7;2;4;5;0;0,0287778106035013;-0,00533843898268547;76,9515506690368;195
"21195";1;2;2;3;0;4;4;6;4;6;0;1;2;2;3;0;0;0;0;0;-0,0201934044170022;-0,0212560218328444;32,089206087403;196
"21196";2;2;1;4;0;5;4;4;4;6;0;3;2;2;0;0;0;0;0;1;-0,00935025346568481;-0,0322327846308896;42,0225756010041;197
"21197";1;0;2;2;3;5;0;8;4;7;0;4;2;1;1;0;0;0;0;0;-0,0141225394643359;-0,0284178980995015;37,6507024746388;198
"21198";0;0;0;2;1;3;0;2;5;3;0;8;5;4;3;1;0;2;1;0;0,005493234397966;-0,0338856059724668;55,6206386070698;199
"21199";0;0;0;0;0;0;0;0;0;1;0;1;3;1;6;9;4;8;7;0;0,042614272008018;0,0296408508643343;89,6270805504173;200
"21200";0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;4;11;11;8;0;0,051854807863012;0,0604810419336234;98,0923004448414;201
"21201";6;0;8;6;8;6;0;3;1;1;0;1;0;0;0;0;0;0;0;0;-0,0472740199361922;0,0421808128075374;7,28075678925961;202
"21202";0;0;1;0;0;1;0;1;2;2;0;4;6;3;5;7;1;3;4;0;0,0184511447867909;-0,0226925802417112;67,491331230849;203
"21203";0;0;0;0;0;1;0;0;0;4;0;0;4;2;6;4;7;8;4;0;0,0369856741354577;0,0137910186093635;84,4707433599979;204
"21204";12;0;7;6;3;3;5;2;2;0;0;0;0;0;0;0;0;0;0;0;-0,0542708765706474;0,0669343158091149;0,870962929911911;205
"21205";7;0;8;7;6;4;0;3;2;2;0;0;1;0;0;0;0;0;0;0;-0,0419466390652959;0,0256365021081354;12,1611502254382;206
"21206";1;0;4;7;7;4;0;7;3;4;0;0;0;1;0;1;1;0;0;0;-0,0256850260398895;-0,012550302710886;27,058352320455;207
"21207";0;1;0;1;1;0;1;1;0;1;1;4;4;3;9;5;3;1;3;1;0,0246087368060774;-0,0132450796505605;73,1322779553011;208
"21208";0;0;1;1;2;2;0;2;4;1;1;5;6;4;7;1;0;1;1;1;-0,00118548083472311;-0,0350546065044957;49,5022928807884;209
"21209";0;1;0;1;0;2;0;4;4;2;1;7;2;3;2;8;1;0;1;1;0,00717287192301572;-0,0330991873501914;57,1593481814489;210
"21210";1;0;9;4;7;5;0;3;2;5;2;1;1;0;0;0;0;0;0;0;-0,0300807539466601;-0,00405741838616851;23,0314426356927;211
"21211";1;0;5;1;3;5;0;4;6;8;1;1;3;0;1;0;0;1;0;0;-0,0167086915105249;-0,0256830823065596;35,2815383812413;212
"21212";0;0;0;0;0;0;0;0;1;0;1;1;4;7;7;4;1;8;5;1;0,037597280651874;0,015405643432168;85,0310337729752;213
"21213";10;1;5;6;5;5;0;4;2;1;0;1;0;0;0;0;0;0;0;0;-0,0488671005261328;0,0475148657609493;5,82134169526398;214
"21214";0;1;1;0;1;2;0;2;3;4;0;4;5;3;7;3;0;3;1;0;0,0138789977210336;-0,0279868234397981;63,3028046227992;215
"21215";0;0;0;0;0;0;0;0;1;3;0;3;2;0;7;4;10;5;5;0;0,029390839728403;-0,00407300409731737;77,5131443282589;216
"21216";0;0;0;2;0;0;1;3;5;6;2;3;5;3;2;4;2;2;0;0;0,0105107017868561;-0,0309489652355873;60,2171214763075;217
"21217";0;0;0;0;0;0;1;0;0;0;1;1;2;0;2;11;10;8;4;0;0,0489084772162311;0,0499972255300198;95,3931780997664;218
"21218";0;0;0;1;0;1;1;0;2;3;0;5;3;2;6;6;2;4;4;0;0,0231663061951023;-0,015696738105911;71,810872736387;219
"21219";0;0;0;0;0;0;0;0;0;1;1;2;3;0;4;8;8;8;5;0;0,0369789862947306;0,0137735079281534;84,4646166544408;220
"21220";0;1;0;0;1;0;0;0;2;5;0;4;6;1;6;5;5;2;2;0;0,0274466935023884;-0,0079954032238582;75,7321193348616;221
"21221";4;0;3;6;6;5;0;2;4;0;2;1;4;2;1;0;0;0;0;0;-0,0275242290552244;-0,00916174505932318;25,3734654048458;222
"21222";0;0;0;0;0;1;1;1;3;6;0;5;4;6;3;5;1;3;1;0;0,0088360634697686;-0,032125457185792;58,6829916574061;223
"21223";0;0;3;0;1;6;1;4;5;5;0;3;5;3;3;1;0;0;0;0;-0,0128392659416067;-0,0296007713907125;38,826304487884;224
"21224";0;0;2;2;2;2;0;3;4;2;4;5;2;4;4;3;0;0;1;0;-0,00250806607183634;-0,0349149202642737;48,2906775549054;225
"21225";5;0;7;3;6;5;1;7;2;2;1;0;0;0;0;0;0;0;1;0;-0,0279662215206042;-0,00831205009336453;24,9685577815399;226
"21226";0;0;1;0;0;0;0;3;1;5;2;6;4;2;4;5;1;1;3;2;0,0179970735432656;-0,0232839523544438;67,0753582846373;227
"21227";0;0;0;0;1;0;0;3;4;2;0;7;8;4;2;8;0;0;0;1;0,00618478889854777;-0,0335857826478378;56,2541690655053;228
"21228";0;0;0;1;1;2;0;6;2;6;0;6;6;3;3;2;0;1;0;1;0,00712285038680259;-0,0331254670134378;57,1135236416012;229
"21229";2;0;3;4;7;5;0;4;4;2;1;2;1;0;3;1;1;0;0;0;-0,0190475842949751;-0,022805699078464;33,1388875609264;230
"21230";0;1;6;4;2;8;0;4;5;3;0;3;0;2;2;0;0;0;0;0;-0,0267145492525476;-0,0106827419377236;26,1152100050822;231
"21231";0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;7;6;7;10;0;0,0524058942243823;0,0625095554173337;98,5971485730261;232
"21232";0;0;0;0;1;0;1;2;3;0;1;4;6;5;3;3;1;5;4;1;0,0255715676276779;-0,0115273533771248;74,0143236238509;233
"21233";0;0;0;0;1;0;1;2;4;2;2;5;5;5;5;3;1;0;3;1;0,0138735789282019;-0,027992227998477;63,2978404872119;234
"21234";0;0;0;0;0;0;0;0;0;0;1;0;1;1;4;6;6;10;11;0;0,0526016351280954;0,0632351926086144;98,7764660734683;235
"21235";10;3;2;9;5;4;0;2;2;1;0;0;1;0;0;1;0;0;0;0;-0,042437948853577;0,0270789368281591;11,711063189432;236
"21236";3;0;3;4;3;7;4;5;5;0;1;2;1;0;2;0;0;0;0;0;-0,0248952123824421;-0,0139326277104821;27,781897620298;237
"21237";0;0;2;3;3;8;1;3;3;6;0;2;2;2;1;3;0;1;0;0;-0,00770703097161405;-0,0331765795743389;43,5279255034402;238
"21238";1;0;4;6;4;7;2;5;4;3;0;0;4;0;0;0;0;0;0;0;-0,0283174600076502;-0,00762704984631973;24,6467895340174;239
"21239";1;0;5;6;1;9;1;11;1;1;2;0;0;0;0;1;0;1;0;0;-0,0264978737096019;-0,0110819702138546;26,3137056492269;240
"21240";0;2;1;2;0;6;0;2;7;7;1;2;2;3;3;1;1;0;0;0;-0,00743040590294509;-0,0333168330458519;43,7813406810164;241
"21241";0;1;0;0;2;1;0;4;4;9;1;4;4;3;4;2;0;0;1;0;0,00739332027327592;-0,0329812797014413;57,3613000800833;242
"21242";1;1;0;1;3;2;0;5;5;4;0;5;4;2;2;0;2;2;1;0;0,00186549101007752;-0,034908804387649;52,2972766309977;243
"21243";0;0;1;4;3;3;0;5;4;5;1;8;3;0;1;2;0;0;0;0;-0,00759912771663047;-0,0332319268761033;43,6267752666026;244
"21244";0;0;0;0;0;0;4;0;0;2;0;3;6;5;3;5;1;7;4;0;0,0264795995317879;-0,00984780402030903;74,8461682116613;245
"21245";0;0;0;0;0;0;2;0;1;1;2;6;3;2;4;7;3;6;3;0;0,0237248427866436;-0,0147647256161045;72,3225459922105;246
"21246";0;0;1;2;1;2;0;3;4;3;1;6;2;8;4;2;0;0;1;0;0,00262622862297272;-0,0347707408187744;52,9941854765639;247
"21247";0;0;0;1;2;2;0;6;4;6;0;0;5;3;2;4;1;1;3;0;0,0104237619414772;-0,0310148851396332;60,1374762132764;248
"21248";0;0;0;0;1;1;0;2;0;4;0;4;2;4;8;8;2;3;1;0;0,0145689029066646;-0,0272819045098944;63,9348241500556;249
"21249";8;0;6;12;3;6;0;4;0;1;0;0;0;0;0;0;0;0;0;0;-0,0528886895938279;0,0617722056436309;2,1371791837737;250
"21250";0;0;0;0;0;1;0;0;2;3;0;2;8;5;8;6;1;3;0;1;0,0232581786343576;-0,015544937261486;71,895036729984;251
"21251";0;0;0;0;0;0;0;0;0;0;2;1;5;2;3;9;8;5;5;0;0,0361274079603216;0,0115694681403173;83,6844889679924;252
"21252";7;0;8;6;7;5;1;1;2;2;0;0;1;0;0;0;0;0;0;0;-0,0376735630923475;0,0138052809679526;16,0756989382207;253
"21253";0;0;0;0;0;0;1;1;1;5;0;4;5;1;5;7;5;2;3;0;0,0290307611887252;-0,0048194848153394;77,1832777420059;254
"21254";0;0;0;0;0;0;1;0;0;1;0;2;3;2;7;9;2;7;6;0;0,0339614817885493;0,00619289964616358;81,7002922063693;255
"21255";11;0;8;5;8;2;0;3;1;1;0;0;0;0;1;0;0;0;0;0;-0,0486582422643415;0,0468054127962713;6,01267595775425;256
"21256";8;0;7;8;5;3;1;3;4;1;0;0;0;0;0;0;0;0;0;0;-0,0448257740428324;0,034330484300604;9,52358557842672;257
"21257";9;0;8;6;4;4;1;6;1;0;1;0;0;0;0;0;0;0;0;0;-0,0430852239216457;0,0290051193522561;11,1180969513953;258
"21258";0;0;0;0;0;0;0;1;0;1;1;3;2;3;5;6;3;10;5;0;0,0412669284933116;0,0256444763305868;88,3927842602134;259
"21259";0;0;1;1;1;6;1;6;5;5;1;7;2;1;1;0;2;0;0;0;-0,00139616108452851;-0,0350405719534221;49,3092895019799;260
"21260";0;0;0;0;0;0;0;1;1;1;0;2;2;2;4;6;5;11;5;0;0,0496848820503823;0,0527007841855171;96,1044396273792;261
"21261";0;0;0;0;0;1;1;0;3;1;1;5;7;4;5;4;2;4;0;2;0,0173959028693403;-0,0240446522087676;66,524628107436;262
"21262";0;0;1;1;0;2;0;3;4;1;3;7;4;1;3;6;1;2;1;0;0,0158143943736784;-0,025924758356191;65,075814165175;263
"21263";0;0;0;0;0;0;0;0;3;2;1;5;6;5;7;6;0;4;1;0;0,032102270250225;0,00184019219853613;79,9970755586401;264
"21264";0;0;0;0;0;0;0;0;1;3;0;2;6;1;6;3;7;6;5;0;0,0416080349041977;0,0266441977399479;88,7052705511451;265
"21265";0;0;0;0;0;0;0;1;1;1;2;4;5;1;4;7;3;8;3;0;0,0322201772583928;0,00210902967490354;80,1050897222012;266
"21266";1;1;2;2;1;4;1;6;7;4;2;6;1;1;0;0;1;0;0;0;-0,0101946265501492;-0,0316741390675401;41,2490486167371;267
"21267";0;0;0;1;1;0;1;1;1;4;0;6;7;0;7;3;5;3;0;0;0,0122607983851369;-0,029509231953982;61,8203783407807;268
"21268";0;0;0;1;1;1;1;2;4;8;0;5;4;1;5;2;1;2;1;1;0,00471712850119652;-0,0341821334172101;54,9096509348601;269
"21269";9;0;6;4;5;9;0;2;1;2;0;1;1;0;0;0;0;0;0;0;-0,0507854520041101;0,0541742855960026;4,06394717283547;270
"21270";0;0;0;1;1;3;0;5;6;7;0;6;6;1;0;2;1;1;0;0;-0,00343596956009773;-0,0347436727720572;47,4406286841258;271
"21271";0;0;0;0;0;0;0;0;1;0;0;1;2;0;5;4;5;12;10;0;0,0468591304219507;0,0430642115351987;93,5157792642713;272
"21272";0;0;0;0;0;0;0;0;0;1;1;0;7;1;7;6;7;2;7;1;0,0439193198988604;0,0336331856015644;90,8226299798116;273
"21273";3;0;5;4;8;7;0;3;4;2;1;0;1;0;1;1;0;0;0;0;-0,0278258280013682;-0,00858343052914158;25,0971717527136;274
"21274";9;0;6;5;8;6;0;1;1;1;1;1;0;1;0;0;0;0;0;0;-0,0404550432941558;0,0213610738560585;13,5275954613462;275
"21275";2;0;11;8;8;6;0;1;1;2;0;1;0;0;0;0;0;0;0;0;-0,0432802634840011;0,0295912868942266;10,9394219471142;276
"21276";0;0;2;1;3;1;0;7;5;5;2;6;3;2;2;1;0;0;0;0;8,92175413708265e-05;-0,0350731087213185;50,6700392346829;277
